iter	Passed	Remaining
0	113	113680
1	119	59405
2	123	41106
3	128	31919
4	133	26515
5	138	22904
6	142	20236
7	147	18285
8	152	16748
9	156	15521
10	161	14489
11	165	13665
12	170	12976
13	175	12364
14	180	11841
15	185	11395
16	190	10986
17	194	10607
18	199	10316
19	204	10034
20	209	9776
21	214	9532
22	219	9318
23	224	9130
24	229	8931
25	233	8763
26	238	8592
27	243	8436
28	247	8297
29	252	8165
30	257	8041
31	262	7927
32	266	7821
33	271	7721
34	276	7617
35	280	7521
36	285	7436
37	290	7346
38	294	7261
39	299	7187
40	304	7113
41	308	7042
42	313	6986
43	318	6930
44	323	6873
45	328	6814
46	334	6773
47	339	6723
48	343	6670
49	348	6615
50	353	6572
51	357	6517
52	362	6469
53	367	6432
54	372	6395
55	376	6350
56	381	6313
57	386	6277
58	391	6244
59	396	6204
60	400	6171
61	406	6147
62	411	6115
63	415	6080
64	420	6055
65	426	6030
66	431	6002
67	435	5970
68	440	5941
69	445	5916
70	449	5886
71	455	5870
72	461	5855
73	466	5833
74	471	5817
75	476	5795
76	481	5771
77	486	5747
78	491	5726
79	495	5702
80	500	5680
81	505	5660
82	510	5636
83	515	5626
84	520	5606
85	525	5589
86	530	5570
87	535	5552
88	540	5536
89	545	5518
90	550	5496
91	554	5477
92	559	5459
93	564	5441
94	569	5424
95	574	5408
96	579	5390
97	583	5370
98	588	5352
99	592	5336
100	597	5318
101	602	5301
102	606	5285
103	612	5272
104	616	5254
105	621	5242
106	626	5227
107	630	5209
108	635	5195
109	640	5182
110	645	5167
111	649	5150
112	654	5136
113	659	5124
114	664	5115
115	669	5105
116	675	5096
117	680	5087
118	685	5076
119	691	5068
120	696	5058
121	701	5050
122	707	5046
123	712	5035
124	717	5023
125	723	5015
126	728	5007
127	733	4997
128	738	4983
129	742	4969
130	747	4957
131	751	4943
132	756	4930
133	760	4916
134	765	4905
135	770	4892
136	774	4879
137	779	4867
138	783	4853
139	788	4844
140	793	4833
141	797	4820
142	802	4809
143	807	4800
144	812	4790
145	817	4780
146	822	4772
147	828	4766
148	833	4760
149	838	4751
150	843	4743
151	848	4734
152	853	4723
153	857	4712
154	863	4704
155	867	4696
156	872	4685
157	877	4674
158	882	4667
159	887	4658
160	891	4647
161	896	4636
162	901	4627
163	905	4616
164	911	4612
165	916	4607
166	921	4597
167	926	4588
168	930	4577
169	935	4569
170	940	4561
171	945	4551
172	950	4541
173	955	4534
174	959	4524
175	964	4515
176	969	4506
177	973	4497
178	978	4487
179	983	4480
180	988	4472
181	993	4463
182	997	4454
183	1002	4447
184	1007	4440
185	1012	4431
186	1017	4422
187	1022	4414
188	1026	4406
189	1031	4396
190	1035	4387
191	1040	4379
192	1045	4369
193	1049	4361
194	1054	4353
195	1058	4343
196	1064	4337
197	1069	4330
198	1073	4320
199	1078	4314
200	1083	4306
201	1088	4298
202	1092	4289
203	1097	4280
204	1102	4273
205	1106	4266
206	1112	4262
207	1117	4256
208	1122	4249
209	1127	4242
210	1132	4233
211	1136	4224
212	1141	4217
213	1146	4210
214	1151	4202
215	1155	4195
216	1160	4187
217	1165	4180
218	1170	4174
219	1175	4167
220	1179	4158
221	1184	4151
222	1189	4144
223	1193	4135
224	1198	4127
225	1203	4122
226	1209	4118
227	1214	4112
228	1219	4106
229	1224	4100
230	1229	4093
231	1234	4085
232	1239	4079
233	1244	4072
234	1249	4067
235	1255	4062
236	1260	4058
237	1266	4054
238	1272	4050
239	1277	4046
240	1283	4043
241	1289	4037
242	1294	4031
243	1299	4026
244	1304	4020
245	1311	4018
246	1317	4015
247	1322	4010
248	1328	4006
249	1332	3998
250	1337	3991
251	1342	3984
252	1346	3976
253	1351	3969
254	1356	3963
255	1361	3958
256	1366	3950
257	1371	3943
258	1375	3936
259	1381	3930
260	1385	3923
261	1390	3916
262	1394	3908
263	1399	3901
264	1404	3894
265	1408	3887
266	1413	3879
267	1418	3873
268	1423	3867
269	1427	3860
270	1432	3852
271	1437	3846
272	1441	3839
273	1446	3832
274	1451	3827
275	1456	3821
276	1461	3815
277	1466	3809
278	1471	3803
279	1476	3796
280	1482	3793
281	1487	3786
282	1491	3779
283	1496	3772
284	1502	3768
285	1507	3762
286	1512	3757
287	1517	3751
288	1522	3745
289	1527	3739
290	1532	3732
291	1536	3725
292	1541	3719
293	1545	3712
294	1550	3705
295	1554	3698
296	1559	3690
297	1563	3683
298	1568	3676
299	1572	3669
300	1577	3662
301	1581	3655
302	1586	3649
303	1591	3644
304	1596	3638
305	1602	3633
306	1607	3628
307	1612	3622
308	1617	3616
309	1622	3610
310	1626	3603
311	1631	3597
312	1636	3592
313	1641	3585
314	1646	3579
315	1650	3573
316	1655	3567
317	1660	3560
318	1665	3555
319	1670	3548
320	1674	3541
321	1679	3535
322	1683	3528
